closure_id,domain,priority,owner,dependency,evidence_ref,evidence_binding,status,closure_type,evt_order_blocker,production_release_blocker,requirement,next_action
HWC-HAR-002,harness,P2,Manufacturing and Validation Owners,PHYSICAL,hardware/manufacturing/generated/harness_report.json,STATUS_READY,NOT_EXECUTED,PHYSICAL,no,yes,execute continuity pull chafe bend and installed-length checks,test serialized harness articles
HWC-MEC-001,mechanical,P1,Mechanical Owner,REPOSITORY,hardware/mechanical/generated/analysis.json,ENGINEERING_PASS,PASS,ENGINEERING,yes,yes,retain analytical envelope clearance drivetrain and stability evidence,rerun generator after controlled geometry changes
HWC-MEC-002,mechanical,P2,Mechanical and Validation Owners,PHYSICAL,hardware/mechanical/interference-checklist.csv,FILE,NOT_EXECUTED,PHYSICAL,no,yes,validate fit wheel sweep retention service removal stability and drop behavior,execute physical integration and stability tests
HWC-VAL-001,validation,P2,Validation Owner,PHYSICAL,hardware/pcb/fabrication/bringup-test-plan.csv,FILE,NOT_EXECUTED,PHYSICAL,no,yes,complete guarded EVT power-up and rail safety connectivity checks,attach serialized calibrated bring-up evidence
HWC-VAL-002,validation,P2,Validation Owner,PHYSICAL,hardware/validation/generated/validation_report.json,PHYSICAL_EXECUTED,NOT_EXECUTED,PHYSICAL,no,yes,complete first batch fault injection SIM2REAL and long-run gates,execute controlled validation matrix
HWC-CMP-001,compliance,P2,Quality Owner,OWNER+SUPPLIER+PHYSICAL,hardware/qa/compliance-matrix.csv,FILE,BLOCKED,COMPLIANCE,no,yes,close RoHS EMC and electrical-safety technical file,attach supplier declarations signed review and lab reports
HWC-SYS-001,system,P0,System and Electrical Owners,OWNER+SUPPLIER,hardware/release/full-system-power-architecture.json,FILE,BLOCKED,ENGINEERING,yes,yes,freeze 48V battery branch modes and arm drive lift protection coordination,select pack power conversion contactors fuse and branch hardware
HWC-ARM-001,axes,P0,System Mechanical and Safety Owners,OWNER+SUPPLIER,hardware/release/prephysical-component-decisions.csv,FILE,BLOCKED,ENGINEERING,yes,yes,freeze purchased seven-axis arms base loads controller power and safety interfaces,approve exact arm revision and supplier document package
HWC-LIFT-001,mechanical,P0,Mechanical and Safety Owners,OWNER+SUPPLIER,hardware/release/prephysical-component-decisions.csv,FILE,BLOCKED,ENGINEERING,yes,yes,freeze lift columns actuators feedback limits locks and safety controller,approve ordering codes FEA inputs and proof-load method
HWC-DRIVE-001,mobility,P0,Mechanical Electrical and Safety Owners,OWNER+SUPPLIER,hardware/mechanical/full-system-drive-sizing.csv,FILE,BLOCKED,ENGINEERING,yes,yes,freeze 48V drive motor gearbox brake wheel servo and regeneration path,approve matched drive curves protection and wheel-load equalization
HWC-WIRE-001,harness,P0,Harness Electrical and Safety Owners,OWNER+SUPPLIER,hardware/manufacturing/harness-component-selection.csv,FILE,BLOCKED,SUPPLIER,yes,yes,freeze every housing contact cable shield termination and crimp tool,release supplier harness drawings and pull-force schedule
HWC-COST-001,cost,P0,System and Procurement Owners,OWNER+SUPPLIER,hardware/release/service-robot-cost-target.csv,FILE,BLOCKED,COMMERCIAL,yes,yes,prove the product can meet the EVT and 100-unit cost ceilings without deleting controlled safety or reliability requirements,collect comparable dated supplier quotations and approve a landed-cost rollup tied to exact MPNs drawing revisions and order quantities
